Country,Muslims,Pew_pct,pct_times_pop
Afghanistan,29047100,99,28756629
Albania,1646128,12,197535.36
Azerbaijan,9872765,8,789821.2
Bangladesh,148607000,82,121857740
Bosnia-Herzegovina,1790454,15,268568.1
Cameroon,4940000,53,2618200
Chad,7827653,47,3678996.91
Congo,3648267,74,2699717.58
Djibouti,853000,82,699460
Egypt,73800000,74,54612000
Ethiopia,25037646,65,16274469.9
Ghana,4914000,58,2850120
Guinea Bissau,705000,47,331350
Indonesia,227000000,72,163440000
Iraq,31108000,91,28308280
Jordan,6397000,71,4541870
Kazakhstan,11200000,10,1120000
Kenya,2868000,64,1835520
Kosovo,1584000,20,316800
Kyrgyzstan,4927000,35,1724450
Lebanon,2542000,29,737180
Liberia,523000,52,271960
Malaysia,19500000,86,16770000
Mali,15667704,63,9870653.52
Morocco,32381000,83,26876230
Mozambique,5340000,65,3471000
Niger,19502214,86,16771904.04
Nigeria,93839000,71,66625690
Pakistan,204194370,84,171523270.8
Palestinian Territories,4298000,89,3825220
Russia,9400000,42,3948000
Senegal,14584931,55,8021712.05
Tajikistan,6506000,27,1756620
Tanzania,19426814,37,7187921.18
Thailand,3952000,77,3043040
Tunisia,11190000,56,6266400
Turkey,74660000,12,8959200
Uganda,5030000,66,3319800
,,,
sum,1140310046,,796167329.6

